name,market,asset_type,status,capacity_mw,latitude,longitude,county,state,interconnection_node,pricing_hub_node,estimated_lcoe,offtake_price_mwh,overall_score,price_score,location_score,curtailment_score,interconnection_score,regulatory_score,financial_score,environmental_score,grid_stability_score,demand_proximity_score,development_risk_score,commissioning_year
Kendall County Generation Facility (CTG2),PJM,natural_gas,active,180.0,41.4797,-88.2581,Kendall,IL,,,,,,,,,,,,,,,,2002
Kendall County Generation Facility (CTG3),PJM,natural_gas,active,180.0,41.4797,-88.2581,Kendall,IL,,,,,,,,,,,,,,,,2002
Kendall County Generation Facility (CTG4),PJM,natural_gas,active,180.0,41.4797,-88.2581,Kendall,IL,,,,,,,,,,,,,,,,2002
Kendall County Generation Facility (STG1),PJM,natural_gas,active,134.0,41.4797,-88.2581,Kendall,IL,,,,,,,,,,,,,,,,2002
Kendall County Generation Facility (STG2),PJM,natural_gas,active,134.0,41.4797,-88.2581,Kendall,IL,,,,,,,,,,,,,,,,2002
Kendall County Generation Facility (STG3),PJM,natural_gas,active,134.0,41.4797,-88.2581,Kendall,IL,,,,,,,,,,,,,,,,2002
Kendall County Generation Facility (STG4),PJM,natural_gas,active,134.0,41.4797,-88.2581,Kendall,IL,,,,,,,,,,,,,,,,2002
Tenaska Gateway Generating Station (GTG1),ERCOT,natural_gas,active,183.2,32.017826,-94.619743,Rusk,TX,,,,,,,,,,,,,,,,2001
Tenaska Gateway Generating Station (GTG2),ERCOT,natural_gas,active,183.2,32.017826,-94.619743,Rusk,TX,,,,,,,,,,,,,,,,2001
Tenaska Gateway Generating Station (GTG3),ERCOT,natural_gas,active,183.2,32.017826,-94.619743,Rusk,TX,,,,,,,,,,,,,,,,2001
Tenaska Gateway Generating Station (STG1),ERCOT,natural_gas,active,390.0,32.017826,-94.619743,Rusk,TX,,,,,,,,,,,,,,,,2001
Rio Nogales Power Project (CTG1),ERCOT,natural_gas,active,223.5,29.593056,-97.973215,Guadalupe,TX,,,,,,,,,,,,,,,,2002
Rio Nogales Power Project (CTG2),ERCOT,natural_gas,active,222.0,29.593056,-97.973215,Guadalupe,TX,,,,,,,,,,,,,,,,2002
Rio Nogales Power Project (CTG3),ERCOT,natural_gas,active,223.5,29.593056,-97.973215,Guadalupe,TX,,,,,,,,,,,,,,,,2002
Rio Nogales Power Project (STG1),ERCOT,natural_gas,active,439.0,29.593056,-97.973215,Guadalupe,TX,,,,,,,,,,,,,,,,2002
Wolf Hollow I LP (CTG1),ERCOT,natural_gas,active,243.9,32.33422,-97.731686,Hood,TX,,,,,,,,,,,,,,,,2003
Wolf Hollow I LP (CTG2),ERCOT,natural_gas,active,243.9,32.33422,-97.731686,Hood,TX,,,,,,,,,,,,,,,,2003
Wolf Hollow I LP (ST),ERCOT,natural_gas,active,300.6,32.33422,-97.731686,Hood,TX,,,,,,,,,,,,,,,,2003
Hays Energy Project (U1),ERCOT,natural_gas,active,241.7,29.7806,-97.9894,Hays,TX,,,,,,,,,,,,,,,,2002
